Timestamp,Jenis Beasiswa ,Tingkat Pendidikan yang Dituju,Negara Tujuan Kuliah,Bidang Studi yang dipilih saat mendaftar,Mendaftar dengan menggunakan LoA sesuai ketentuan LPDP ,Apakah anda dinyatakan Lulus Seleksi Substansi Akademik Pada gelombang I Tahun 2021?,Jumlah Jawaban Benar pada Tes Penalaran Verbal,Jumlah Jawaban Benar pada Tes Kuantitatif,Jumlah Jawaban Benar pada Tes Pemecahan Masalah,[optional] Kampus/universitas tujuan saat ini (pilihan 1)
6/24/2021 16:58:22,Reguler,S2,Dalam negeri,IPA,Tidak,Ya,16,17,6,UNAIR
6/24/2021 16:59:04,Reguler,S2,Luar Negeri,ICT,Tidak,Ya,16,19,6,ANU
6/24/2021 16:59:20,Reguler,S2,Luar Negeri,AFR,"Ya, dengan Loa",Ya,14,15,6,Wageningen University and Research
6/24/2021 17:02:21,Reguler,S2,Luar Negeri,Bus,Tidak,Ya,18,18,7,Nus
6/24/2021 17:04:35,Reguler,S2,Luar Negeri,Civ,Tidak,Ya,16,22,6,Uni of Michigan
6/24/2021 17:04:53,Reguler,S2,Luar Negeri,TRA,"Ya, dengan Loa",Ya,14,19,3,University of Leeds
6/24/2021 17:05:34,Reguler,S2,Luar Negeri,PUB,"Ya, dengan Loa",Ya,16,20,7,
6/24/2021 17:05:39,Targeted,S3,Luar Negeri,ACF,Tidak,Ya,16,15,8,University of Manchester
6/24/2021 17:06:35,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,14,19,5,UNAIR
6/24/2021 17:06:37,Reguler,S2,Luar Negeri,GEO,"Ya, dengan Loa",Ya,18,20,8,University of Manchester
6/24/2021 17:08:17,Reguler,S2,Luar Negeri,ICT,"Ya, dengan Loa",Ya,18,22,2,
6/24/2021 17:08:24,Reguler,S2,Luar Negeri,ENT,Tidak,Ya,15,21,7,LSE
6/24/2021 17:10:50,Reguler,S2,Luar Negeri,LNY,"Ya, dengan Loa",Tidak,17,11,4,University of Groningen 
6/24/2021 17:12:18,Reguler,S2,Luar Negeri,TRA,"Ya, dengan Loa",Ya,15,18,3,TU München
6/24/2021 17:12:45,Reguler,S2,Luar Negeri,COM,Tidak,Ya,15,17,8,"Goldsmiths, University of London"
6/24/2021 17:12:52,Targeted,S3,Luar Negeri,PUB,Tidak,Ya,12,16,6,ANU
6/24/2021 17:14:39,Targeted,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,19,15,5,
6/24/2021 17:16:12,Targeted,S3,Dalam negeri,TRP,Tidak,Ya,14,17,4,IPB
6/24/2021 17:17:17,Reguler,S2,Luar Negeri,CIV,"Ya, dengan Loa",Ya,17,17,6,UCL
6/24/2021 17:18:11,Reguler,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,16,15,6,ITB
6/24/2021 17:18:48,Reguler,S2,Luar Negeri,ACF,Tidak,Ya,14,16,9,Erasmus University Rotterdam
6/24/2021 17:21:12,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,13,17,5,Unpad
6/24/2021 17:23:14,Afirmasi,S2,Dalam negeri,BK,Tidak,Ya,15,8,6,UNY
6/24/2021 17:28:14,Reguler,S2,Dalam negeri,FOR,"Ya, dengan Loa",Ya,13,15,8,Institut Pertanian Bogor
6/24/2021 17:29:48,Reguler,S2,Luar Negeri,EDU,Tidak,Ya,13,16,6,King's College London
6/24/2021 17:30:45,Afirmasi,S2,Dalam negeri,Bio,Tidak,Ya,8,11,4,Universitas Tadulako
6/24/2021 17:32:01,Reguler,S2,Luar Negeri,TRA,Tidak,Ya,16,22,7,TU DELFT
6/24/2021 17:32:48,Reguler,S2,Dalam negeri,TRP,Tidak,Tidak,15,8,8,Universitas Malang
6/24/2021 17:33:36,Afirmasi,S2,Dalam negeri,PSY,Tidak,Ya,11,11,5,Universitas Indonesia
6/24/2021 17:33:52,Afirmasi,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,12,10,4,UNNES
6/24/2021 17:35:57,Reguler,S3,Luar Negeri,FOO,"Ya, dengan Loa",Ya,17,22,9,UC Davis
6/24/2021 17:36:03,Reguler,S2,Luar Negeri,ETC,Tidak,Ya,14,14,7,The Australian National University
6/24/2021 17:37:13,Afirmasi,S2,Luar Negeri,ETC,Tidak,Ya,17,18,6,University of Twente
6/24/2021 17:37:36,Reguler,S2,Luar Negeri,LIN,Tidak,Ya,17,14,6,
6/24/2021 17:37:53,Reguler,S2,Luar Negeri,COM,Tidak,Tidak,13,7,12,LSE
6/24/2021 17:39:41,Targeted,S2,Luar Negeri,MED,Tidak,Ya,18,17,8,Uppsala University
6/24/2021 17:47:02,Reguler,S2,Luar Negeri,GEO,Tidak,Ya,14,18,4,
6/24/2021 17:48:19,Afirmasi,S2,Dalam negeri,IPA,"Ya, dengan Loa",Ya,18,22,5,ITB
